data_name,objective_name,obj_description,solver_name,solver_description,idx_rep,sampling_strategy,p_obj_reg,p_obj_quantile,p_obj_fit_intercept,p_solver_delta_init,p_solver_delta_final,p_solver_n_deltas,p_solver_max_iter,final_results,stop_val,time,objective_value,env-OMP_NUM_THREADS,platform,platform-architecture,platform-release,platform-version,system-cpus,system-processor,system-ram (GB),version-cuda,version-numpy,version-scipy,benchmark-git-tag,p_dataset_n_samples,p_dataset_n_features,p_dataset_rho
MEG,"L1-regularized Quantile Regression[fit_intercept=True,quantile=0.2,reg=0.05]",,"skglm-SmoothQuantileRegressor[delta_final=1e-05,delta_init=0.1,max_iter=2000,n_deltas=10]",Smooth quantile regression solver using skglm.,0,Iteration,0.05,0.2,True,0.1,1e-05,10,2000,outputs/final_results/9ae6dc2f5e40698ea86ff5449b7301a8.pkl,0,5.45558679199894,0.0433118417401365,,Darwin,arm64,24.5.0,Darwin Kernel Version 24.5.0: Tue Apr 22 19:54:33 PDT 2025; root:xnu-11417.121.6~2/RELEASE_ARM64_T8122,8,Apple M3,24,,['2.2.6' ''],1.15.3,,,,
"Simulated[n_features=100,n_samples=10000,rho=0.6]","L1-regularized Quantile Regression[fit_intercept=True,quantile=0.8,reg=0.05]",,"skglm-SmoothQuantileRegressor[delta_final=1e-05,delta_init=0.1,max_iter=500,n_deltas=3]",Smooth quantile regression solver using skglm.,0,Iteration,0.05,0.8,True,0.1,1e-05,3,500,outputs/final_results/5d6c4a2dd47566e64bd6ffe36567bae1.pkl,0,15.33998866598995,0.5006962410310095,,Darwin,arm64,24.5.0,Darwin Kernel Version 24.5.0: Tue Apr 22 19:54:33 PDT 2025; root:xnu-11417.121.6~2/RELEASE_ARM64_T8122,8,Apple M3,24,,['2.2.6' ''],1.15.3,,10000.0,100.0,0.6
"Simulated[n_features=100,n_samples=10000,rho=0]","L1-regularized Quantile Regression[fit_intercept=True,quantile=0.8,reg=0.05]",,"skglm-SmoothQuantileRegressor[delta_final=1e-05,delta_init=0.5,max_iter=500,n_deltas=3]",Smooth quantile regression solver using skglm.,0,Iteration,0.05,0.8,True,0.5,1e-05,3,500,outputs/final_results/e16636967b20b09ab8461e88c020d08c.pkl,0,3.9669641660002526,0.4417855304483916,,Darwin,arm64,24.5.0,Darwin Kernel Version 24.5.0: Tue Apr 22 19:54:33 PDT 2025; root:xnu-11417.121.6~2/RELEASE_ARM64_T8122,8,Apple M3,24,,['2.2.6' ''],1.15.3,,10000.0,100.0,0.0
"Simulated[n_features=10000,n_samples=100,rho=0.6]","L1-regularized Quantile Regression[fit_intercept=True,quantile=0.2,reg=0.05]",,"skglm-SmoothQuantileRegressor[delta_final=0.0001,delta_init=1,max_iter=500,n_deltas=5]",Smooth quantile regression solver using skglm.,0,Iteration,0.05,0.2,True,1.0,0.0001,5,500,outputs/final_results/593cc3e45c33aaea1f18824df007e3ad.pkl,0,8.832440708007198,1.27149567982995,,Darwin,arm64,24.5.0,Darwin Kernel Version 24.5.0: Tue Apr 22 19:54:33 PDT 2025; root:xnu-11417.121.6~2/RELEASE_ARM64_T8122,8,Apple M3,24,,['2.2.6' ''],1.15.3,,100.0,10000.0,0.6
"Simulated[n_features=10000,n_samples=100,rho=0]","L1-regularized Quantile Regression[fit_intercept=True,quantile=0.2,reg=0.05]",,"skglm-SmoothQuantileRegressor[delta_final=1e-05,delta_init=0.1,max_iter=500,n_deltas=5]",Smooth quantile regression solver using skglm.,0,Iteration,0.05,0.2,True,0.1,1e-05,5,500,outputs/final_results/844bebc425980b9393bd7a7de287535c.pkl,0,9.612683833998744,1.2459233481244452,,Darwin,arm64,24.5.0,Darwin Kernel Version 24.5.0: Tue Apr 22 19:54:33 PDT 2025; root:xnu-11417.121.6~2/RELEASE_ARM64_T8122,8,Apple M3,24,,['2.2.6' ''],1.15.3,,100.0,10000.0,0.0
"Simulated[n_features=600,n_samples=500,rho=0.6]","L1-regularized Quantile Regression[fit_intercept=True,quantile=0.8,reg=0.05]",,"skglm-SmoothQuantileRegressor[delta_final=0.0001,delta_init=0.1,max_iter=500,n_deltas=10]",Smooth quantile regression solver using skglm.,0,Iteration,0.05,0.8,True,0.1,0.0001,10,500,outputs/final_results/2754506f3e7ed8c05aa3263d454f836e.pkl,0,8.286107833991991,0.7828062623375248,,Darwin,arm64,24.5.0,Darwin Kernel Version 24.5.0: Tue Apr 22 19:54:33 PDT 2025; root:xnu-11417.121.6~2/RELEASE_ARM64_T8122,8,Apple M3,24,,['2.2.6' ''],1.15.3,,500.0,600.0,0.6
"Simulated[n_features=600,n_samples=500,rho=0]","L1-regularized Quantile Regression[fit_intercept=True,quantile=0.8,reg=0.05]",,"skglm-SmoothQuantileRegressor[delta_final=1e-05,delta_init=0.1,max_iter=1000,n_deltas=10]",Smooth quantile regression solver using skglm.,0,Iteration,0.05,0.8,True,0.1,1e-05,10,1000,outputs/final_results/58c061a18ea78d79c60802422856017a.pkl,0,6.740599208002095,0.7059576339529476,,Darwin,arm64,24.5.0,Darwin Kernel Version 24.5.0: Tue Apr 22 19:54:33 PDT 2025; root:xnu-11417.121.6~2/RELEASE_ARM64_T8122,8,Apple M3,24,,['2.2.6' ''],1.15.3,,500.0,600.0,0.0
